id,state,name,region,latitude,longitude,elevation_weather,snowforecast_id,resort_website,resort_website_weather_url,resort_website_new_snow_path,resort_website_new_snow_date_path,base_elevation,summit_elevation,active
1,WA,49 Degrees North,Pacific NW,48.28319,-117.5770569,2045,Forty-Nine-Degrees-North,http://www.ski49n.com/,http://www.ski49n.com/snow_report.php,,,3900,5800,T
2,WA,Crystal Mountain,Pacific NW,46.93150988,-121.4826965,4449,Crystal-Mountain,http://crystalmountainresort.com/,http://crystalmountainresort.com/The-Mountain/mountain_report,,,4400,7000,T
3,WA,Hurricane Ridge,Pacific NW,47.972,-123.503,5151,HurricaneRidge,http://hurricaneridge.com/,http://hurricaneridge.com/?page_id=2,,,4800,5500,T
4,WA,Loup Loup Ski Bowl,Pacific NW,48.4253,-120.1419,1697,LoupLoup,http://www.skitheloup.com,http://www.skitheloup.com/the_mountain/conditions/,,,4000,5200,T
5,WA,Mission Ridge,Pacific NW,47.28668189,-120.418396,1250,Mission-Ridge,http://www.missionridge.com/,http://www.missionridge.com/the-mountain/snow-conditions.html,,,4600,6800,T
6,WA,Mount Baker,Pacific NW,48.865,-121.678,4219,Mount-Baker,http://www.mtbaker.us/,http://www.mtbaker.us/index.php/snow-report/,,,3500,5000,T
7,WA,Mount Spokane,Pacific NW,47.97417,-117.42833,2205,Mt-Spokane-Ski-and-Snowboard-Park,http://www.mtspokane.com/,http://www.mtspokane.com/19/,,,4200,5900,T
8,WA,Ski Bluewood,Pacific NW,46.12,-117.85,5530,Bluewood,http://www.bluewood.com/pin/,http://www.bluewood.com/PIN/Mountain/CurrentConditions/tabid/268/Default.aspx,,,4500,5700,T
9,WA,Stevens Pass,Pacific NW,47.7459,-121.0891,4019,Stevens-Pass,http://www.stevenspass.com/,http://www.stevenspass.com/Stevens/snowreport.aspx,,,4100,5900,T
10,WA,The Summit at Snoqualmie-Alpental,Pacific NW,47.43946692,-121.4181519,2874,Snoqualmie,http://www.summitatsnoqualmie.com/,http://www.summitatsnoqualmie.com/Weather,,,3100,5400,T
11,WA,White Pass,Pacific NW,46.638,-121.39,4308,White-Pass,http://skiwhitepass.com/,http://skiwhitepass.com/index.php?option=com_content&view=article&id=58&Itemid=90,,,4500,6600,T
12,OR,Anthony Lakes,Pacific NW,45.0138,-117.9168,3273,Anthony-Lakes-Mountain-Resort,http://www.anthonylakes.com/pin/,http://www.anthonylakes.com/pin/Mountain/CurrentConditions/tabid/86/Default.aspx,,,"7,100",8000,T
13,OR,Hoodoo,Pacific NW,44.402,-121.882,5700,Hoodoo-Ski-Area,http://www.hoodoo.com,http://www.hoodoo.com/daily-conditions/,,,4700,5700,T
14,OR,Mount Ashland,Pacific NW,42.38111,-122.87222,1329,Mt-Ashland,http://www.mtashland.com/,http://www.mtashland.com/SectionIndex.asp?SectionID=14,,,6400,7500,T
15,OR,Mount Bachelor,Pacific NW,43.98314,-121.58034,6001,Mt-Bachelor,http://www.mtbachelor.com/winter/index.html,http://www.mtbachelor.com/winter/mountain/snow_report,,,5700,9100,T
16,OR,Mount Hood Meadows,Pacific NW,45.37585,-122.03528,1070,Mt-Hood-Meadows,http://www.skihood.com/,http://www.skihood.com/The-Mountain/Conditions,,,4500,7300,T
17,OR,Mount Hood,Pacific NW,45.37585,-122.03528,1070,Mt-Hood-Ski-Bowl,http://www.skibowl.com/winter/,http://www.skibowl.com/winter/conditions/,,,3500,5100,T
18,OR,Timberline,Pacific NW,45.37585,-122.03528,1070,Timberline,http://www.timberlineresort.com/Winter/,http://www.visitcanaan.com/timberline,,,3300,4300,T
19,OR,Willamette Pass,Pacific NW,43.59775,-122.0349,5080,Willamette-pass,http://www.willamettepass.com/,http://www.willamettepass.com/mountain/snowreport.php,,,5100,6700,T
20,ID,Bogus Basin,,43.56667,-116.24056,2858,Bogus-Basin,http://www.bogusbasin.org/,http://www.bogusbasin.org/snow-report.aspx,,,5800,7600,T
21,ID,Brundage,,44.20861,-114.93444,6496,Brundage-Mountain-Resort,http://www.brundage.com/,http://www.brundage.com/the-mountain/snow-report/,,,5800,7600,T
22,ID,Kelly Canyon,,43.6111,-111.70531,5106,Kelly-Canyon-Ski-Area,http://www.skikelly.com/,http://www.skikelly.com/,,,5600,6600,T
23,ID,Lookout Pass,,47.47,-115.69,4054,LookoutPass,https://skilookout.com/,https://skilookout.com/snow-report,,,4500,5700,T
24,ID,Magic Mountain ,,43.34,-72.52,577,Magic-Mountain-Ski-Area,http://www.magicmtn.com/,http://www.magicmtn.com/snowreport.php,,,1200,2900,T
25,ID,Pebble Creek,,42.8767,-112.4603,4440,Pebble-Creek-Ski-Area,http://www.pebblecreekskiarea.com/,http://www.pebblecreekskiarea.com/report_snow.htm,,,6400,8600,T
26,ID,Pomerelle,,42.5425,-113.77139,4150,Pomerelle-Mountain-Resort,http://www.pomerelle.com/,http://www.pomerelle.com/conditions/index.htm,,,8000,9000,T
27,ID,Schweitzer,,48.29944,-116.56,2126,Schweitzer,http://www.schweitzer.com/,http://www.schweitzer.com/mountain/snow-report/,,,4000,6400,T
28,ID,Silver Mountain,,47.45417,-115.66972,6001,Silver-Mountain,http://www.silvermt.com/,http://www.silvermt.com/site_Snow-Report/SnowReport.aspx,,,4100,6300,T
29,ID,Soldier Mountain,,43.5,-114.3,5318,Soldier-Mountain,http://www.soldiermountain.com/,Website being updated,,,5800,7200,T
30,ID,Sun Valley,,43.5,-114.3,5318,Sun-Valley,http://www.sunvalley.com/,http://www.sunvalley.com/mountain/report/ AND http://www.sunvalley.com/mountain/dollar/,,,5800,9200,T
31,ID,Tamarack,,44.88333,-116.09944,5020,Tamarack,http://tamarackidaho.com/winter_adventure/index.php,http://tamarackidaho.com/weather.php#snowreport_container,,,4900,7700,T
32,MT,Big Sky,,45.27,-111.43,8880,Big-Sky,http://www.bigskyresort.com/,http://www.bigskyresort.com/Activities/Winter/Conditions.asp,,,7500,11200,T
33,MT,Blacktail Mountain,,47.7675,-114.2339,3600,Blacktail-Mountain-Ski-Area,http://www.blacktailmountain.com/,http://www.blacktailmountain.com/index.php?page=snow-report,,,5300,6800,T
34,MT,Bridger Bowl,,45.78806,-111.16083,4475,Bridger-Bowl,http://bridgerbowl.com/,http://bridgerbowl.com/snowreport/,,,6100,8800,T
35,MT,Discovery Basin,,46.3167,-113.3,5280,Discovery-Ski-Area,http://www.skidiscovery.com/,http://www.skidiscovery.com/trail.php,,,5770,8200,T
36,MT,Great Divide,,46.56148,-112.30931,6325,Great-Divide,http://www.skigd.com/,http://www.skigd.com/,,,5900,7200,T
37,MT,Lost Trail Powder Mountain,,45.69302,-113.94835,7090,Lost-Trail---Powder-Mtn,http://www.losttrail.com/,http://www.losttrail.com/weather-snow/,,,8200,6400,T
38,MT,Maverick Mountain,,45.31545,-113.30974,7400,MaverickMountain,http://skimaverick.com/,http://skimaverick.com/mountain/snow-report/,,,6800,8800,T
39,MT,Montana Snow Bowl,,46.92083,-114.0925,3199,Montana-Snowbowl,http://www.montanasnowbowl.com/,http://www.montanasnowbowl.com/report.php3,,,5000,7600,T
40,MT,Moonlight Basin,,45.27,-111.43,8800,Moonlight-Basin,http://www.moonlightbasin.com/site/index.html,http://www.moonlightbasin.com/site/snow-conditions.html,,,7400,11200,T
41,MT,Red Lodge,,45.80694,-108.54222,3648,Red-Lodge-Mountain,http://www.redlodgemountain.com/,http://www.redlodgemountain.com/content.asp?section=mtn&page=snowreport&season=winter,,,7000,9400,T
42,MT,Showdown,,46.8353,-110.7175,8232,Showdown-Ski-Area,http://www.showdownmontana.com/,http://www.showdownmontana.com/,,,6800,8200,T
43,MT,Teton Pass,,47.92,-112.82,6400,Teton-Pass-Ski-Area,http://tetonpassresort.com/,http://tetonpassresort.com/about/snow-report,,,7200,8600,T
44,MT,Turner Mountain,,48.4667,-115.9167,1950,TurnerMountain,http://www.skiturner.com/,http://www.skiturner.com/,,,3800,6000,T
45,MT,Whitefish Mountain,,48.5394,-114.5594,3116,Big-Mountain,http://skiwhitefish.com/,http://skiwhitefish.com/snowreport.php,,,4500,6800,T
46,AK,Alyeska,,60.95386,-149.066877,0,Alyeska-Resort,http://www.alyeskaresort.com/,http://www.alyeskaresort.com/snow-report.aspx,,,250,4000,T
47,WY,Jackson Hole,,43.6,-110.73333,6450,Jackson-Hole,http://www.jacksonhole.com/,http://www.jacksonhole.com/weather-snow-report.html,,,6300,10450,T
