State,Powder mean,Powder stdev,Bluebird mean,Bluebird stdev,Freezing Level mean,Freezing Level stdev,Snow Quality mean,Snow Quality stdev
49 Degrees North,1.20833333333,0.398347280091,3.15,1.27082650271,4.13333333333,1.47723465374,1.23333333333,0.520149551144
Crystal Mountain,1.81666666667,1.24988888395,3.075,1.525,2.48333333333,1.77239636901,1.69166666667,0.986752530048
Hurricane Ridge,1.46666666667,0.835995746932,2.99166666667,1.45413681918,1.825,1.55342363829,1.28333333333,0.535153145267
Loup Loup Ski Bowl,1.14166666667,0.300578146615,3.55833333333,1.20879301601,3.06666666667,1.95249128608,1.2,0.497493718553
Mission Ridge,1.19166666667,0.345707808545,3.51666666667,1.39632454044,3.00833333333,1.82172461024,1.16666666667,0.389087250998
Mount Baker,2.10833333333,1.38094673644,2.94166666667,1.50094877402,2.05833333333,1.72443630081,1.91666666667,1.0554093466
Mount Spokane,1.25,0.413319892255,3.125,1.2243195389,3.63333333333,1.73893326177,1.15,0.345205252953
Ski Bluewood,1.36666666667,0.558022301426,3.60833333333,1.3974431016,2.56666666667,1.75348858628,1.19166666667,0.385591176709
Stevens Pass,1.88333333333,1.30021365766,3.1,1.58061169594,2.3,1.74212513902,1.69166666667,0.918974367917
Snoqualmie - Alpental,1.83333333333,1.2405196044,2.91666666667,1.43081173542,1.94166666667,1.46867759869,1.65833333333,0.830369730234
White Pass,1.7,1.16081867662,3.14166666667,1.49399260001,2.55,1.77176936046,1.54166666667,0.892289502099
Anthony Lakes,1.33333333333,0.574939610355,3.625,1.53263117981,3.66666666667,1.88561808316,1.33333333333,0.652984600805
Hoodoo,1.425,0.839518711326,3.40833333333,1.58309208688,1.79166666667,1.58388148406,1.29166666667,0.540383094562
Mount Ashland,1.18333333333,0.381517438075,3.53333333333,1.40198272299,1.75833333333,1.49231829342,1.18333333333,0.487054639873
Mount Bachelor,1.53333333333,0.930352382464,3.49166666667,1.4469556163,2.49166666667,1.73983156911,1.35,0.640962817434
Mount Hood Meadows,1.73333333333,1.14733991863,3.23333333333,1.46903218329,2.2,1.57241851935,1.35,0.586657196893
Mount Hood Skibowl,1.29166666667,0.581246266416,3.35,1.58981130956,1.54166666667,1.21977343069,1.15833333333,0.338399008404
Timberline,1.76666666667,1.17426099692,3.26666666667,1.47751668537,2.46666666667,1.6903319858,1.36666666667,0.611464544261
Willamette Pass,1.39166666667,0.794993011849,3.46666666667,1.51208097961,1.69166666667,1.3458010832,1.30833333333,0.60098299107
Bogus Basin,1.29166666667,0.504493695589,3.75,1.44481832768,3.13333333333,1.83681487605,1.29166666667,0.602368012283
Brundage,1.45833333333,0.744656893401,3.5,1.50138824648,3.775,1.74206534512,1.50833333333,0.92530025157
Kelly Canyon,1.26666666667,0.381517438075,3.05,1.46258902863,4.76666666667,0.803464719546,1.33333333333,0.734090518185
Lookout Pass,1.80833333333,1.13226052165,2.95,1.4059397806,4.125,1.52991012808,1.9,1.09468412491
Magic Mountain ,1.15,0.270801280155,3.675,1.49045574686,2.91666666667,1.94436507775,1.11666666667,0.30776975521
Pebble Creek,1.28333333333,0.50304627576,3.44166666667,1.55011200312,4.94166666667,0.178924254613,1.325,0.658755139132
Pomerelle,1.20833333333,0.408673327841,3.58333333333,1.41323112838,4.11666666667,1.62112786527,1.175,0.388104367407
Schweitzer,1.46666666667,0.688395880935,2.69166666667,1.32237685837,4.45833333333,1.13115599671,1.475,0.780891584451
Silver Mountain,1.63333333333,0.879709548026,3.06666666667,1.45047884814,3.93333333333,1.54506382464,1.66666666667,0.929456232907
