State,Powder mean,Powder stdev,Bluebird mean,Bluebird stdev,Freezing Level mean,Freezing Level stdev
Mount Baker,2.27852349,1.277348541,2.009395974,1.279856446,3.19212963,1.743575005
Stevens Pass,2.08557047,1.095602793,2.063422818,1.303604073,3.5625,1.770751632
Alyeska,2.075838924,1.016484992,2.358389262,1.400544029,4.840277778,0.61844557
Timberline,2.066442953,1.160427527,2.191275169,1.276802998,3.710648148,1.541164346
Mount Hood Meadows,2.049664429,1.158373319,2.190604026,1.285089621,3.298611111,1.753785038
Crystal Mountain,2.047315437,1.034015195,2.064765101,1.257013926,3.708333333,1.632815961
Snoqualmie - Alpental,2.046875,1.101220027,2.142578127,1.310461066,2.928240741,1.645719379
Whistler Blackcomb,1.911278196,1.06886238,2.42481203,1.222434771,3.564814815,1.187984974
Mount Washington Alpine,1.859022556,0.887588491,2.511278195,1.29699793,3.263888889,1.811049334
Jackson Hole,1.841275168,0.714089544,2.137248322,1.218291168,4.543981481,0.905761333
Grand Targhee,1.83557047,0.725940614,2.158053691,1.239480123,4.6875,0.89567182
Lookout Pass,1.772147651,0.738772394,1.946308725,1.190286384,3.664351852,1.755995694
Silver Mountain,1.753355705,0.715965215,1.939261745,1.138799612,3.650462963,1.660383927
Eaglecrest Ski Area,1.747315436,0.670790008,2.208053691,1.250638322,3.856481481,1.526844552
Hurricane Ridge,1.738590605,0.650119266,2.101006711,1.238144718,3.398148148,1.877633039
Crested Butte,1.730201344,0.755246055,2.468456374,1.436979831,4.576388889,0.82387573
White Pass,1.724832215,0.82065664,2.046644294,1.291955807,3.49537037,1.717280595
Snowbird,1.694295302,0.783759872,2.669798657,1.4326469,4.344907407,1.192044226
Mount Bachelor,1.691610739,0.815524755,2.41442953,1.373824028,3.534722222,1.611395449
Snowmass,1.689261744,0.705861455,2.459395972,1.434432388,4.493055556,0.792366893
Aspen Heights,1.685234899,0.709440258,2.464429529,1.409641955,4.347222222,0.971130339
Alta,1.670805369,0.746605308,2.668120805,1.447263268,4.444444444,1.212556477
Antelope Butte,1.665436241,0.693834287,2.376174495,1.257922328,4.703703704,0.984338086
Loveland,1.665100671,0.654096659,2.112080536,1.076357436,4.939814815,0.315257042
Whitefish Mountain,1.663422819,0.561267467,1.854697986,0.987460679,4.375,1.264041505
Alpenglow,1.662080536,0.72439864,2.452348994,1.411046253,4.925925926,0.46678974
Copper Mountain,1.646308725,0.628919761,2.320469797,1.35790024,4.854166667,0.482476491
Brighton,1.643959732,0.709780965,2.661744966,1.437879092,4.44212963,1.229746324
Brundage,1.641275168,0.705151979,2.30033557,1.27739112,4.157407407,1.419357164
Powder Mountain,1.633221477,0.755929818,2.55704698,1.361971776,4.085648148,1.434593292
Silverton,1.630872484,0.817973378,2.723489933,1.479837161,4.831018519,0.516877985
Snowbasin,1.629530201,0.829571197,2.661744966,1.396380619,3.912037037,1.498963691
Steamboat,1.628187919,0.659477171,2.358724831,1.392040309,4.175925926,1.222502774
Moonlight Basin,1.627516779,0.562515808,2.180201343,1.184304782,4.805555556,0.621129994
Arapahoe Basin,1.608724833,0.603755905,2.226174497,1.196731902,4.958333333,0.248839901
Hoodoo,1.604026846,0.777094847,2.187583893,1.317052664,2.657407407,1.851423562
Lost Trail Powder Mountain,1.595973154,0.639985234,2.269463088,1.211628661,4.50462963,1.127302932
Schweitzer,1.590268457,0.603893348,1.891275167,1.01994755,4.027777778,1.527272644
Anthony Lakes,1.577516779,0.698570838,2.466442953,1.310341455,4.087962963,1.465780515
Keystone,1.575167786,0.601665032,2.244630871,1.231618414,4.706018519,0.66738564
Telluride,1.574832215,0.74935373,2.772147651,1.502340261,4.351851852,0.982507326
Solitude,1.574496644,0.636675969,2.697986577,1.424048949,4.231481481,1.361976923
Montana Snow Bowl,1.570134229,0.549096862,2.069127516,1.175970216,4.263888889,1.298518268
Purgatory,1.569463087,0.859407306,2.891275167,1.52073732,3.946759259,1.519948725
Mount Hood Skibowl,1.569127517,0.756018299,2.100671141,1.260246414,2.460648148,1.715993003
Big Sky,1.566107384,0.531941752,2.280872484,1.228350745,4.798611111,0.641412588
Ski Cooper,1.565436242,0.613710776,2.390939596,1.380096456,4.895833333,0.541265877
Jay Peak,1.550390625,0.504994435,1.942578126,0.950330736,4.25,1.448178933
Winter Park,1.545637584,0.575213204,2.355704696,1.267502036,4.634259259,0.832239508
Sunlight,1.540604027,0.609581469,2.580872483,1.486918318,3.993055556,1.457919915
Willamette Pass,1.530536913,0.700184813,2.33624161,1.376234761,2.743055556,1.843864429
Mount Bohemia,1.526442308,0.446565781,2.192307692,1.042504594,4.377403846,1.383711561
Showdown,1.526174497,0.626259372,2.215771813,1.059458634,4.55787037,1.141396197
Buttermilk,1.514765101,0.570279084,2.551677851,1.440642288,3.840277778,1.548019319
Whitewater,1.509493671,0.514724699,2.430379747,0.966967651,4.094936709,1.424971573
Kicking Horse Mountain,1.506390978,0.565931713,2.154135338,0.934269147,4.56712963,0.835834082
Powderhorn,1.505704699,0.609558378,2.743624161,1.458592783,3.94212963,1.56702363
Wolf Creek,1.502684564,0.721314636,2.964765101,1.354219151,4.636574074,0.916277859
Mount Ashland,1.501677852,0.707021736,2.790604027,1.445849987,2.856481481,1.910680175
Aspen Mountain,1.495637584,0.526828324,2.58691275,1.434713402,4.247685185,1.106847046
Eldora,1.491275168,0.598760788,2.324161072,1.173213391,4.310185185,1.296750912
Porcupine,1.483173077,0.423561512,2.141826923,1.028304022,4.079326923,1.637622728
Blacktail Mountain,1.474832215,0.436529332,1.905704698,1.057103333,4.407407407,1.331853603
Ski Bluewood,1.468120805,0.618946246,2.248657718,1.248206045,2.877314815,1.903181842
Whitecap Mountain,1.467479676,0.527225586,2.151626015,1.072436152,4.199074074,1.57334542
Boyne,1.463942308,0.415183968,2.040865385,1.025580615,3.495192308,1.895395727
Marquette,1.459134615,0.423343175,2.103365385,1.045026325,4.192307692,1.554394658
Stowe,1.4578125,0.421235049,2.02734375,1.008496315,4.074074074,1.531029088
Beaver Mountain,1.454026846,0.536753751,2.55671141,1.343760846,4.25462963,1.408054493
Discovery Basin,1.449328859,0.467213163,2.342617451,1.253429872,4.305555556,1.271724794
Red Lodge,1.445302014,0.510735168,2.328859059,1.243144706,4.340277778,1.206875717
Brian Head,1.444630872,0.704352264,3.211744966,1.393650381,3.979166667,1.587029677
Whiteface Mountain,1.444531252,0.428124289,1.956250001,0.933051948,4.023148148,1.496344712
Eagle Point,1.443288591,0.661137359,3.16442953,1.405219122,3.905092593,1.650868736
Bridger Bowl,1.438590605,0.470617215,2.361744967,1.218624891,4.469907407,1.105393759
Turner Mountain,1.42818792,0.427860376,1.826845638,0.978536839,4.078703704,1.489021611
Teton Pass,1.417114095,0.415301774,2.207382549,1.033862501,4.560185185,1.010288721
Smugglers Notch,1.416015625,0.395479022,2.229296876,1.150416489,4.037037037,1.502626872
Snow King,1.412080538,0.451717491,2.11442953,1.186703393,4.069444444,1.492587136
Park City,1.412080537,0.506986458,2.659731543,1.430465239,3.965277778,1.449160969
Tamarack,1.411409396,0.498020269,2.424496644,1.331013861,3.87962963,1.494775423
Monarch,1.410067115,0.521484068,2.449664428,1.277653792,4.851851852,0.676179557
Mad River Glen,1.408203125,0.410686227,2.0875,1.029790634,4.097222222,1.522528862
Wildcat Mountain,1.405078126,0.550668623,2.112499999,1.049944194,4.097222222,1.530868087
Big White,1.404887218,0.472151716,2.567669173,1.164612871,4.527777778,1.065740339
Pomerelle,1.404362416,0.526159087,2.730536914,1.353478139,4.467592593,1.262938864
Sugarbush,1.4015625,0.402236787,2.105078125,1.041592828,4.118055556,1.49592747
Mt. Shasta,1.397986577,0.767368886,3.053355703,1.527056478,2.12037037,1.700517855
Sugarloaf,1.394140626,0.591694505,2.34609375,1.120853633,4.143518519,1.445860832
Kirkwood,1.384563759,0.670642768,3.268120804,1.565078366,2.851851852,1.707498792
Maverick Mountain,1.381879195,0.433156619,2.34932886,1.230621423,4.462962963,1.183809966
White Pine,1.381208054,0.4317312,2.429530201,1.242791476,4.731481481,0.843482436
49 Degrees North,1.37818792,0.465354096,2.162751678,1.187803714,3.775462963,1.658640331
Pebble Creek,1.377181208,0.470416181,2.419798657,1.298150708,4.259259259,1.379800511
Panorama Mountain,1.37406015,0.434230869,2.454887218,1.131335372,4.493055556,0.938785127
Homewood Mountain,1.370469799,0.730197487,2.920805369,1.388677859,1.972222222,1.631693243
Killington,1.369921877,0.415864117,2.262499999,1.071597085,3.951388889,1.542026359
Alpine Meadows,1.360402685,0.67794288,2.946979865,1.439638147,2.166666667,1.644294287
Snowy Range,1.359731544,0.589923151,2.413758387,1.05902733,4.310185185,1.366289908
Squaw Valley USA,1.353649635,0.700355359,2.989416058,1.311688479,2.298611111,1.607800118
Sleeping Giant,1.350000001,0.395867919,2.219798658,1.236861405,4.166666667,1.537720174
Mount Spokane,1.35,0.434733583,2.251677852,1.219767501,3.648148148,1.683263556
Sundance,1.348322147,0.456291445,2.634228188,1.371804857,3.340277778,1.807731061
Cannon Mountain,1.345703125,0.380533517,2.08046875,1.00823241,4.180555556,1.510316887
Great Divide,1.340604028,0.405266054,2.339261745,1.09851278,4.222222222,1.456281626
Sunday River,1.338281251,0.514572198,2.412109375,1.212157588,3.75,1.685655714
Sun Peaks Resort,1.336090225,0.417356224,2.357142857,1.03975747,4.456018519,1.113276728
Bear Valley Mountain,1.33590604,0.645117973,3.373825504,1.520923243,2.0625,1.613429247
Magic Mountain ,1.333557047,0.4905976,2.566107384,1.378931459,3.560185185,1.872643695
Sierra-at-Tahoe,1.332550336,0.584386507,3.273154361,1.573314837,2.217592593,1.632671561
Arizona Snowbowl,1.32278481,0.645274815,3.291139241,1.26380377,3.183544304,1.720919711
Kimberley Alpine,1.322180451,0.39633725,2.537593985,1.059550302,4.388888889,1.258459032
Mammoth Mountain,1.322147652,0.626334349,2.960738254,1.341485249,2.886574074,1.61817808
Sugar Bowl,1.316107383,0.63256876,3.1795302,1.550579166,2.231481481,1.708402337
Loup Loup Ski Bowl,1.304362416,0.440406039,2.634563761,1.334265749,3.342592593,1.862020692
Sun Valley,1.30033557,0.509424489,2.627516777,1.319274207,3.842592593,1.429109001
Lutsen,1.2876,0.413843254,2.5256,1.213616348,4.44212963,1.273213382
Dodge Ridge,1.287248323,0.577984068,3.478523491,1.532634429,1.930555556,1.593473863
Heavenly,1.277181209,0.54941956,2.910738254,1.442703973,2.594907407,1.568172146
Mission Ridge,1.276174496,0.393298898,2.533892617,1.290664316,3.608796296,1.693626789
Red Mountain,1.269172933,0.347262214,2.796992481,1.292019452,4.152777778,1.406760024
Kelly Canyon,1.264429531,0.364226463,2.219127516,1.204125977,3.844907407,1.735294561
Taos,1.26375839,0.4171998,3.228187919,1.246112373,3.946759259,1.464886438
Northstar-at-Tahoe,1.263422819,0.545070369,3.236241609,1.529901727,2.194444444,1.651785416
Canyons,1.259395974,0.372924643,2.944966444,1.40627483,3.960648148,1.448243683
