State,Powder mean,Powder stdev,Bluebird mean,Bluebird stdev,Freezing Level mean,Freezing Level stdev,Computed Score
AK,1.828,0.837,2.34,1.36,4.541,1.101,2.507
CO,1.579,0.665,2.499,1.389,4.477,1.069,2.303
WY,1.549,0.623,2.264,1.214,4.459,1.208,2.277
MT,1.495,0.517,2.181,1.159,4.439,1.196,2.231
UT,1.497,0.655,2.77,1.422,4.059,1.48,2.137
British Columbia,1.447,0.616,2.473,1.147,4.17,1.341,2.128
WA,1.698,0.889,2.195,1.282,3.412,1.771,2.127
MI,1.483,0.428,2.12,1.037,4.036,1.661,2.121
VT,1.434,0.431,2.109,1.05,4.088,1.51,2.097
NY,1.445,0.428,1.956,0.933,4.023,1.496,2.089
OR,1.699,0.893,2.335,1.348,3.169,1.801,2.066
NH,1.375,0.474,2.096,1.029,4.139,1.521,2.066
ID,1.442,0.576,2.387,1.317,3.877,1.62,2.051
ME,1.366,0.555,2.379,1.168,3.947,1.583,2.011
WI,1.258,0.363,2.488,1.294,3.675,1.847,1.863
MN,1.232,0.337,2.483,1.2,3.668,1.849,1.841
AZ,1.323,0.645,3.291,1.264,3.184,1.721,1.788
NM,1.173,0.335,3.337,1.278,3.387,1.751,1.727
NV,1.141,0.253,3.376,1.288,2.59,1.789,1.503
CA,1.268,0.58,3.338,1.465,2.149,1.64,1.488
